 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
90,	7.16382348e-01,	7.78052315e+02,	8.67735920e-05,	0,	7.12742200e-02,	6.16791602e+03,	6.57480273e+01,	
91,	7.16133978e-01,	7.77246995e+02,	6.03765900e-05,	0,	8.05320403e-01,	6.09871637e+03,	3.73649983e+01,	
92,	7.15756344e-01,	7.76733229e+02,	8.83715390e-05,	0,	5.13765354e-01,	6.09963248e+03,	3.46177820e+01,	
93,	7.13580124e-01,	7.74040901e+02,	5.55557352e-04,	0,	2.69232789e+00,	6.16149244e+03,	4.71659785e+01,	
94,	7.13050509e-01,	7.73505637e+02,	1.37125348e-04,	4,	5.35264751e-01,	3.42930439e+03,	8.70684255e+01,	
95,	7.12888537e-01,	7.73206052e+02,	4.49674297e-05,	1,	2.99584821e-01,	3.49057947e+03,	4.25480176e+01,	
96,	7.12727545e-01,	7.72908494e+02,	4.10397518e-05,	0,	2.97557933e-01,	6.15358243e+03,	3.25226241e+01,	
97,	7.12285383e-01,	7.72373538e+02,	1.14657553e-04,	0,	5.34955935e-01,	6.16786315e+03,	3.26154241e+01,	
98,	7.09735848e-01,	7.71980383e+02,	7.42142544e-04,	0,	3.93154466e-01,	6.67778922e+03,	1.29862661e+02,	
99,	7.09439375e-01,	7.71380243e+02,	1.10873835e-04,	2,	6.00140603e-01,	4.41326149e+03,	2.53411146e+02,	
100,	7.09370313e-01,	7.70455559e+02,	3.81900320e-05,	0,	9.24684037e-01,	6.33552003e+03,	7.88206918e+01,	
101,	7.09262812e-01,	7.69697386e+02,	3.14882869e-05,	0,	7.58173023e-01,	6.25571419e+03,	5.82472790e+01,	
102,	7.08883134e-01,	7.68896930e+02,	1.08097479e-04,	0,	8.00455694e-01,	6.25141448e+03,	8.26463486e+01,	
103,	7.08677862e-01,	7.68883636e+02,	6.64569053e-05,	0,	1.32944661e-02,	6.25879920e+03,	5.98999808e+01,	
104,	7.08526597e-01,	7.68350612e+02,	4.39206741e-05,	0,	5.33023596e-01,	6.21423107e+03,	3.08206864e+01,	
105,	7.08306163e-01,	7.68078701e+02,	6.43632043e-05,	0,	2.71911093e-01,	6.22208959e+03,	2.79208268e+01,	
106,	7.07336671e-01,	7.67142217e+02,	2.98160472e-04,	0,	9.36483707e-01,	3.72796834e+03,	4.01872557e+01,	
107,	7.07102060e-01,	7.66841995e+02,	7.35826043e-05,	4,	3.00221964e-01,	3.74487712e+03,	4.72503149e+01,	
108,	7.06920388e-01,	7.66713478e+02,	6.01799223e-05,	0,	1.28517610e-01,	6.30114324e+03,	3.92951716e+01,	
109,	7.06759703e-01,	7.66446129e+02,	4.98974716e-05,	0,	2.67348207e-01,	6.29932608e+03,	2.80853195e+01,	
110,	7.06554523e-01,	7.66247171e+02,	6.59059305e-05,	0,	1.98958503e-01,	4.06311790e+03,	2.77668946e+01,	
111,	7.05728324e-01,	7.65669006e+02,	2.68714587e-04,	0,	5.78164722e-01,	4.01712227e+03,	1.27665156e+02,	
112,	7.05669274e-01,	7.65350353e+02,	2.33417380e-05,	3,	3.18653021e-01,	4.13767839e+03,	2.83542597e+01,	
113,	7.05599726e-01,	7.65263511e+02,	2.25701382e-05,	0,	8.68422942e-02,	6.35254010e+03,	2.62887773e+01,	
114,	7.04904776e-01,	7.64614247e+02,	2.31721126e-04,	0,	6.49263511e-01,	3.99911491e+03,	6.48779392e+01,	
115,	7.04759466e-01,	7.64588817e+02,	5.43211797e-05,	3,	2.54302856e-02,	4.02537225e+03,	4.19820057e+01,	
116,	7.04637490e-01,	7.64303560e+02,	4.09559302e-05,	0,	2.85256957e-01,	6.40007818e+03,	2.75349114e+01,	
117,	7.04411195e-01,	7.64065783e+02,	7.71411184e-05,	0,	2.37777681e-01,	6.41503426e+03,	2.89096502e+01,	
118,	7.03888622e-01,	7.63773088e+02,	1.84390886e-04,	0,	2.92694307e-01,	6.48611603e+03,	4.73362129e+01,	
119,	7.03640130e-01,	7.63424905e+02,	9.04425809e-05,	1,	3.48183413e-01,	4.07577900e+03,	5.63777968e+01,	
120,	7.03486084e-01,	7.63262091e+02,	5.61776579e-05,	0,	1.62813446e-01,	6.46395657e+03,	3.51953642e+01,	
121,	7.03348114e-01,	7.63019418e+02,	4.81464098e-05,	0,	2.42673598e-01,	6.45565819e+03,	2.47331823e+01,	
122,	7.03090622e-01,	7.62766716e+02,	9.17128681e-05,	0,	2.52701306e-01,	4.28944034e+03,	2.50696019e+01,	
123,	7.01947544e-01,	7.62108506e+02,	4.23064687e-04,	1,	6.58210879e-01,	6.72271748e+03,	1.61134157e+02,	
124,	7.01881836e-01,	7.61978976e+02,	3.27406006e-05,	3,	1.29529609e-01,	4.51679200e+03,	5.45083697e+01,	
125,	7.01807964e-01,	7.61645287e+02,	2.62599106e-05,	0,	3.33689359e-01,	6.55770386e+03,	3.66788394e+01,	
126,	7.01619376e-01,	7.61345857e+02,	6.84180112e-05,	0,	2.99429775e-01,	6.55486883e+03,	3.35431939e+01,	
127,	7.01441658e-01,	7.61239735e+02,	6.87716440e-05,	0,	1.06122201e-01,	6.56669705e+03,	3.58408465e+01,	
128,	7.01275208e-01,	7.61024278e+02,	6.14335497e-05,	0,	2.15457038e-01,	6.58200543e+03,	4.12508621e+01,	
129,	7.01154684e-01,	7.60936361e+02,	4.76759282e-05,	0,	8.79168524e-02,	6.57902990e+03,	3.17984563e+01,	
130,	7.01041342e-01,	7.60772167e+02,	4.20785105e-05,	0,	1.64194088e-01,	6.58311771e+03,	2.42826125e+01,	
131,	7.00878640e-01,	7.60626002e+02,	6.24854252e-05,	0,	1.46164739e-01,	4.63283278e+03,	2.46530742e+01,	
